# Source: https://andersonbioinfo.github.io/SurfSeq_Gene_coverage/
# Repo: https://github.com/andersonbioinfo/SurfSeq_Gene_coverage  commit 9ef3f77e31f998947672920e86f1e091fcfce5f5 (2025-07-26)
# Column: percentage of each gene's coding region covered by the SurfSeq panel design
gene	pct_coding_covered
B3GNT4	100
B3GNT6	100
B3GNT7	70
B3GNT8	100
B3GNT9	100
B3GNTL1	99.42
B4GALNT1	100
B4GALNT2	100
B4GALNT3	100
B4GALNT4	99.9294
B4GALT1	100
B4GALT2	100
B4GALT3	99.9679
B4GALT4	100
B4GALT5	100
B4GALT6	100
B4GALT7	100
B4GAT1	100
B9D1	100
B9D2	100
BAALC	100
BAAT	100
BABAM1	100
BABAM2	100
BACE1	100
BACE2	99.796
BACH1	100
BACH2	100
BAD	100
BAG1	99.8986
BAG2	100
BAG3	100
BAG4	100
BAG5	100
BAG6	99.9973
BAHCC1	99.7167
BAHD1	100
BAIAP2	100
BAIAP2L1	100
BAIAP2L2	100
BAIAP3	100
BAK1	100
BAMBI	100
BANF1	100
BANF2	100
BANK1	100
BANP	100
BAP1	100
BARD1	100
BARHL1	98.7119
BARHL2	100
BARX1	97.6457
BARX2	100
BASP1	100
BATF	100
BATF2	100
BATF3	99.3333
BAX	100
BAZ1A	100
BAZ1B	100
BAZ2A	100
BAZ2B	100
BBC3	99.1419
BBIP1	100
BBLN	100
BBOF1	100
BBOX1	100
BBS1	100
BBS10	100
BBS12	100
BBS2	100
BBS4	100
BBS5	100
BBS7	100
BBS9	100
BBX	100
BCAM	100
BCAN	100
BCAP31	100
BCAR1	100
BCAR3	100
BCAS1	100
BCAS2	100
BCAS3	100
BCAS4	99.9048
BCAT1	100
BCAT2	100
BCCIP	100
BCDIN3D	100
BCHE	100
BCKDHA	100
BCKDHB	100
BCKDK	100
BCL10	100
BCL11A	100
BCL11B	99.7971
BCL2	100
BCL2A1	100
BCL2L1	100
BCL2L10	100
BCL2L11	99.3829
BCL2L12	100
BCL2L13	100
BCL2L14	85.7143
BCL2L15	100
BCL2L2	100
BCL2L2-PABPN1	98.5022
BCL3	97.7967
BCL6	100
BCL6B	100
BCL7A	100
BCL7B	100
BCL7C	87.5989
BCL9	100
BCL9L	99.9957
BCLAF1	100
BCLAF3	100
BCO1	100
BCO2	100
BCOR	99.9658
BCORL1	99.9797
BCR	99.9748
BCS1L	100
BDH1	100
BDH2	100
BDKRB1	100
BDKRB2	100
BDNF	100
BDP1	100
BEAN1	100
BECN1	100
BECN2	100
BEGAIN	97.6623
BEND2	100
BEND3	100
BEND4	98.6283
BEND6	100
BEND7	100
BEST1	100
BEST2	100
BEST3	100
BEST4	100
BET1	100
BET1L	100
BEX1	100
BEX2	100
BEX3	100
BEX4	100
BEX5	100
BFAR	100
BFSP1	99.687
BFSP2	100
BGN	100
BHLHA15	100
BHLHA9	89.5763
BHLHE22	99.6161
BHLHE23	98.3195
BHLHE40	100
BHLHE41	99.5757
BHMT	100
BHMT2	100
BICC1	100
BICD1	100
BICD2	100
BICDL1	100
BICDL2	100
BICRA	99.1745
BICRAL	100
BID	100
BIK	100
BIN1	100
BIN2	100
BIN3	100
BIRC2	100
BIRC3	100
BIRC5	100
BIRC6	99.9658
BIRC7	100
BIVM	100
